time,open,high,low,close,volume
2026-04-27 05:40:00,27452.5000,27454.7500,27446.7500,27452.0000,908
2026-04-27 05:45:00,27451.0000,27458.0000,27450.0000,27455.2500,1089
2026-04-27 05:50:00,27455.2500,27465.7500,27454.0000,27465.7500,1581
2026-04-27 05:55:00,27465.5000,27466.7500,27450.7500,27455.2500,1757
2026-04-27 06:00:00,27455.7500,27459.0000,27451.0000,27452.0000,1214
2026-04-27 06:05:00,27451.5000,27457.5000,27444.0000,27449.7500,1688
2026-04-27 06:10:00,27449.7500,27451.0000,27440.2500,27446.0000,1253
2026-04-27 06:15:00,27446.2500,27458.5000,27444.5000,27455.5000,1620
2026-04-27 06:20:00,27455.7500,27465.2500,27455.7500,27462.0000,1333
2026-04-27 06:25:00,27461.7500,27462.2500,27449.2500,27453.2500,1352
2026-04-27 06:30:00,27454.0000,27465.5000,27451.5000,27463.2500,1180
2026-04-27 06:35:00,27463.2500,27470.0000,27461.0000,27468.5000,1548
2026-04-27 06:40:00,27469.2500,27481.5000,27468.5000,27477.0000,2386
2026-04-27 06:45:00,27477.2500,27479.7500,27466.7500,27471.2500,2067
2026-04-27 06:50:00,27471.2500,27483.0000,27468.2500,27477.2500,1740
2026-04-27 06:55:00,27477.5000,27483.5000,27472.5000,27475.0000,1161
2026-04-27 07:00:00,27475.5000,27483.0000,27475.0000,27479.5000,1431
2026-04-27 07:05:00,27479.5000,27488.7500,27479.5000,27487.0000,1801
2026-04-27 07:10:00,27487.0000,27492.5000,27482.5000,27484.2500,2330
2026-04-27 07:15:00,27484.5000,27489.0000,27477.7500,27487.2500,1993
2026-04-27 07:20:00,27487.5000,27497.5000,27483.5000,27495.7500,2217
2026-04-27 07:25:00,27495.2500,27498.7500,27489.2500,27492.7500,1949
2026-04-27 07:30:00,27492.2500,27500.7500,27483.7500,27485.2500,2270
2026-04-27 07:35:00,27485.2500,27488.0000,27479.2500,27482.7500,1701
2026-04-27 07:40:00,27482.7500,27485.5000,27478.5000,27482.2500,1442
2026-04-27 07:45:00,27482.2500,27491.7500,27480.2500,27486.2500,1686
2026-04-27 07:50:00,27486.2500,27489.5000,27474.7500,27482.7500,1706
2026-04-27 07:55:00,27482.2500,27484.7500,27477.5000,27481.5000,1443
2026-04-27 08:00:00,27482.0000,27483.5000,27466.2500,27474.0000,3103
2026-04-27 08:05:00,27474.5000,27475.5000,27458.2500,27462.5000,2851
2026-04-27 08:10:00,27463.0000,27479.2500,27460.5000,27466.7500,3018
2026-04-27 08:15:00,27467.0000,27467.2500,27448.2500,27451.0000,4010
2026-04-27 08:20:00,27450.7500,27451.7500,27424.7500,27426.5000,5038
2026-04-27 08:25:00,27426.5000,27430.5000,27398.0000,27419.2500,10043
2026-04-27 08:30:00,27419.2500,27424.0000,27406.7500,27416.0000,5667
2026-04-27 08:35:00,27416.2500,27421.0000,27390.0000,27401.7500,6554
2026-04-27 08:40:00,27401.2500,27422.0000,27391.0000,27418.0000,6286
2026-04-27 08:45:00,27419.0000,27432.5000,27407.7500,27430.0000,5649
2026-04-27 08:50:00,27429.2500,27437.7500,27422.0000,27431.2500,3381
2026-04-27 08:55:00,27431.2500,27432.7500,27414.0000,27419.0000,4598
2026-04-27 09:00:00,27419.7500,27433.5000,27383.7500,27401.5000,16311
2026-04-27 09:05:00,27400.7500,27419.0000,27386.0000,27412.2500,9784
2026-04-27 09:10:00,27411.7500,27426.2500,27406.0000,27415.7500,6408
2026-04-27 09:15:00,27415.7500,27425.5000,27410.0000,27414.2500,4157
2026-04-27 09:20:00,27414.7500,27422.2500,27412.0000,27413.5000,2864
2026-04-27 09:25:00,27412.7500,27414.0000,27393.0000,27410.7500,9639
2026-04-27 09:30:00,27410.0000,27429.7500,27362.2500,27369.0000,43435
2026-04-27 09:35:00,27369.2500,27412.7500,27354.2500,27392.7500,37270
2026-04-27 09:40:00,27392.7500,27400.7500,27360.5000,27387.7500,32447
2026-04-27 09:45:00,27387.0000,27388.5000,27324.5000,27350.0000,46307
2026-04-27 09:50:00,27350.5000,27382.0000,27298.0000,27378.5000,51629
2026-04-27 09:55:00,27378.7500,27413.5000,27372.2500,27401.7500,34551
2026-04-27 10:00:00,27401.7500,27410.0000,27378.0000,27387.2500,27592
2026-04-27 10:05:00,27388.5000,27403.2500,27364.5000,27367.0000,27280
2026-04-27 10:10:00,27367.2500,27392.7500,27349.0000,27389.2500,27798
2026-04-27 10:15:00,27389.5000,27394.2500,27352.5000,27362.7500,22604
2026-04-27 10:20:00,27362.7500,27376.7500,27353.7500,27371.0000,14995
2026-04-27 10:25:00,27371.0000,27383.7500,27355.5000,27360.0000,17535
2026-04-27 10:30:00,27359.7500,27361.0000,27321.7500,27355.2500,33565
2026-04-27 10:35:00,27355.5000,27406.5000,27352.0000,27377.7500,31632
2026-04-27 10:40:00,27377.0000,27385.0000,27357.2500,27376.5000,18238
2026-04-27 10:45:00,27377.2500,27381.7500,27350.7500,27372.5000,15427
2026-04-27 10:50:00,27372.5000,27390.0000,27347.0000,27359.7500,17717
2026-04-27 10:55:00,27360.0000,27375.0000,27344.0000,27368.5000,15299
2026-04-27 11:00:00,27368.2500,27379.2500,27336.0000,27340.0000,18086
2026-04-27 11:05:00,27340.0000,27367.0000,27331.7500,27356.5000,21181
2026-04-27 11:10:00,27356.5000,27364.7500,27336.0000,27339.2500,12384
2026-04-27 11:15:00,27339.2500,27360.0000,27333.0000,27339.2500,14243
2026-04-27 11:20:00,27339.0000,27343.5000,27307.2500,27322.0000,20201
2026-04-27 11:25:00,27321.5000,27345.7500,27312.0000,27344.7500,15128
2026-04-27 11:30:00,27344.7500,27359.5000,27335.5000,27352.5000,15920
2026-04-27 11:35:00,27352.2500,27362.7500,27345.2500,27360.5000,10093
2026-04-27 11:40:00,27360.7500,27383.2500,27355.7500,27371.5000,13458
2026-04-27 11:45:00,27371.2500,27380.7500,27359.0000,27364.0000,12085
2026-04-27 11:50:00,27364.2500,27372.5000,27349.0000,27357.7500,11736
2026-04-27 11:55:00,27357.7500,27369.2500,27352.0000,27367.2500,9393
2026-04-27 12:00:00,27366.7500,27375.0000,27347.0000,27357.2500,12653
2026-04-27 12:05:00,27357.7500,27377.5000,27355.5000,27372.0000,9902
2026-04-27 12:10:00,27372.5000,27385.5000,27365.5000,27374.7500,11955
2026-04-27 12:15:00,27375.2500,27389.7500,27373.0000,27387.2500,9225
2026-04-27 12:20:00,27387.0000,27389.2500,27370.0000,27373.5000,7918
2026-04-27 12:25:00,27373.7500,27384.0000,27371.7500,27376.5000,5681
2026-04-27 12:30:00,27376.2500,27394.2500,27375.7500,27391.7500,7306
2026-04-27 12:35:00,27391.7500,27401.7500,27382.7500,27399.0000,10381
2026-04-27 12:40:00,27398.5000,27406.7500,27392.7500,27396.2500,8712
2026-04-27 12:45:00,27396.0000,27406.2500,27393.7500,27403.7500,6093
2026-04-27 12:50:00,27404.0000,27404.2500,27390.2500,27392.0000,6440
2026-04-27 12:55:00,27391.7500,27394.2500,27378.2500,27390.7500,9686
2026-04-27 13:00:00,27390.7500,27404.0000,27390.2500,27397.5000,7436
2026-04-27 13:05:00,27398.0000,27405.0000,27393.5000,27404.0000,5297
2026-04-27 13:10:00,27404.0000,27414.7500,27395.7500,27413.7500,9175
2026-04-27 13:15:00,27413.5000,27418.2500,27380.2500,27392.5000,15160
2026-04-27 13:20:00,27391.7500,27421.2500,27381.5000,27401.5000,16083
2026-04-27 13:25:00,27401.2500,27415.7500,27397.0000,27411.2500,9108
2026-04-27 13:30:00,27411.0000,27438.5000,27410.5000,27437.7500,16593
2026-04-27 13:35:00,27437.7500,27438.5000,27418.7500,27421.5000,10466
2026-04-27 13:40:00,27422.2500,27431.2500,27418.0000,27430.0000,6657
